"PID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","species","country","localities","source","method","notes"
1,0,0,100,100,100,0,0,0,0,0,0,0,"Ablennes hians","USA","Delaware Bay","Fishbase","ArcGIS geocoding","No available suitability"
2,0,0,0,0,0,0,0,100,100,0,0,0,"Abudefduf luridus","Azores Is.","Azores Is","Fishbase","Exclusive economic zone",""
3,100,100,100,100,100,100,100,100,100,100,100,100,"Abudefduf saxatilis","Panama","Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","Fishbase","Hand-geocoded",""
4,100,100,0,0,0,0,0,0,0,0,100,100,"Abudefduf saxatilis","Brazil","São Paulo","Fishbase","Hand-geocoded",""
5,0,0,0,0,0,0,0,0,0,100,100,100,"Acanthistius brasilianus","Argentina","Buenos Aires - Patagonian region, 1981-1983","Fishbase","Exclusive economic zone",""
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthopagrus berda","South Africa","Kosi estuary","Fishbase","Hand-geocoded","No available suitability"
7,0,0,0,0,100,100,100,100,0,0,0,0,"Acanthopagrus berda","South Africa","South Africa","Fishbase","Exclusive economic zone",""
8,100,100,100,100,0,0,0,0,0,0,0,0,"Acanthopagrus bifasciatus","United Arab Em.","off Abu Dhabi, 2000-2003","Fishbase","Hand-geocoded","No available suitability"
9,0,100,100,100,100,0,0,0,0,0,0,0,"Acanthopagrus schlegelii","China","coastal waters to the north of Hong Kong","Fishbase","Hand-geocoded",""
10,0,0,100,100,100,100,0,0,0,0,0,0,"Acanthopagrus schlegelii","Japan","not stated","Fishbase","Exclusive economic zone",""
11,0,0,0,100,100,100,0,0,0,0,0,0,"Acanthopagrus schlegelii","Japan","Tokyo Bay","Fishbase","Hand-geocoded",""
12,0,0,0,0,0,0,0,0,0,0,100,100,"Acanthopagrus schlegelii","Hong Kong","Tolo Harbour","Fishbase","Hand-geocoded","No available suitability"
13,100,100,100,100,100,100,100,100,100,100,100,100,"Acanthurus lineatus","American Samoa","Afao, Tutuila Island","Fishbase","Hand-geocoded","No available suitability"
14,0,0,0,0,0,0,100,0,0,0,0,0,"Acanthurus nigricauda","Micronesia","Pohnpei State (Jul-Aug 2016)","Fishbase","Hand-geocoded",""
15,1,1,1,2,2,4,6,3,1,1,0,0,"Acanthurus nigrofuscus","Israel","Larome Beach (April 1981-May 1984)","Fishbase","Hand-geocoded","No available suitability"
16,0,0,0,0,100,100,100,100,0,0,0,0,"Acanthurus triostegus","Palau","to be filled","Fishbase","Exclusive economic zone",""
17,100,100,100,100,100,100,100,100,100,100,100,100,"Acanthurus vittatus","American Samoa","Afao, Tutuila Island","Fishbase","Hand-geocoded","No available suitability"
