"country","localities","which","west","south","east","north"
"USA","Delaware Bay","red",-75.168462,38.847865,-74.885513,39.177901
"USA","Delaware Bay","green",-95.1496299999999,19.0501100000001,-55.1496299999999,59.0501100000001
"NA","to be filled","red",NA,NA,NA,NA
"NA","to be filled","green",10.839498984,-28.520976122,23.6034989840001,-15.756976122
"Azores Is.","Azores Is","red",NA,NA,NA,NA
"Azores Is.","Azores Is","green",-25.713479409,37.5643276610001,-25.249479409,38.0283276610001
"Panama","Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","red",NA,NA,NA,NA
"Panama","Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","green",-79.7474,8.74039000000004,-79.3234,9.16439000000004
"Brazil","São Paulo","red",-53.1101115316335,-25.312320949314,-44.1613651644231,-19.7796557978745
"Brazil","São Paulo","green",-46.93268,-23.84087,-46.37668,-23.28487
"Japan","to be filled","red",NA,NA,NA,NA
"Japan","to be filled","green",132.639321798,33.596183836,132.945321798,33.902183836
"Argentina","Buenos Aires - Patagonian region, 1981-1983","red",NA,NA,NA,NA
"Argentina","Buenos Aires - Patagonian region, 1981-1983","green",-58.8264216105015,-34.7667769200851,-58.5744216105015,-34.5147769200851
"Bermuda","Bermuda","red",-65.0120418687384,32.122240870129,-64.5223267161152,32.5159785046382
"Bermuda","Bermuda","green",-64.991041837,32.0858177320001,-64.5490418369999,32.5278177320001
"","Mediterranean","red",29.263704221004,35.8154300000002,37.7492790220001,38.5784072880003
"","Mediterranean","green",-117.38918,34.00631,-117.12918,34.26631
"USA","North Carolina","red",-66.1680973425624,18.1450470073664,-65.7767922401345,18.5829659500215
"USA","North Carolina","green",-82.087417913,32.6373443350001,-76.283417913,38.4413443350001
"USA","Northern Gulf of Mexico","red",-97.8910827636719,18.0608062744141,-80.3720550537109,30.7750549316406
"USA","Northern Gulf of Mexico","green",-109.93674,9.18690000000004,-69.93674,49.1869
"USA","Straits of Florida","red",-82.1090698242188,22.7454166412356,-79.4702326979998,25.1314942351588
"USA","Straits of Florida","green",-82.4422999999999,27.9116000000001,-82.1523,28.2016000000001
"Mexico","Straits of Yucatan","red",NA,NA,NA,NA
"Mexico","Straits of Yucatan","green",-100.75,6.75000000000006,-70.7499999999999,36.7500000000001
"South Africa","Kosi estuary","red",32.61682,-27.1516,33.11682,-26.6516
"South Africa","Kosi estuary","green",32.74643,-27.02473,33.00643,-26.76473
"South Africa","South Africa","red",16.45189,-46.978931,38.000465,-22.1250300579999
"South Africa","South Africa","green",17.79804994,-36.284182288,32.37204994,-21.710182288
"United Arab Em.","off Abu Dhabi, 2000-2003","red",NA,NA,NA,NA
"United Arab Em.","off Abu Dhabi, 2000-2003","green",54.520334442984,24.1051264720936,54.772334442984,24.3571264720936
"China","coastal waters to the north of Hong Kong","red",NA,NA,NA,NA
"China","coastal waters to the north of Hong Kong","green",110.1842982,18.5148805000001,118.1842982,26.5148805000001
"Japan","not stated","red",NA,NA,NA,NA
"Japan","not stated","green",128.179495,25.563226998,150.363495,47.747226998
"Japan","Tokyo Bay","red",141.92034,26.4168,142.42034,26.9168
"Japan","Tokyo Bay","green",135.313899459,25.4851091200001,145.313899459,35.4851091200001
"Hong Kong","Tolo Harbour","red",113.96151,22.19214,114.46151,22.69214
"Hong Kong","Tolo Harbour","green",94.2204038000001,2.42778680000004,134.2204038,42.4277868
"Hawaii","west coast (19°42' N; 156°03' W) (May 2006-April 2007)","red",NA,NA,NA,NA
"Hawaii","west coast (19°42' N; 156°03' W) (May 2006-April 2007)","green",19.3443010000001,41.1790500000001,19.6343010000001,41.4690500000001
"American Samoa","Afao, Tutuila Island","red",NA,NA,NA,NA
"American Samoa","Afao, Tutuila Island","green",-179.9,-23.88872,-161.1335,-4.71071999999998
"Micronesia","Pohnpei State (Jul-Aug 2016)","red",NA,NA,NA,NA
"Micronesia","Pohnpei State (Jul-Aug 2016)","green",154.8066,3.56500000000006,161.6046,10.3630000000001
"Israel","Larome Beach (April 1981-May 1984)","red",NA,NA,NA,NA
"Israel","Larome Beach (April 1981-May 1984)","green",34.8573900000001,32.68386,35.1273900000001,32.95386
"Palau","to be filled","red",NA,NA,NA,NA
"Palau","to be filled","green",132.337600068,5.24747966200002,136.685600068,9.59547966200002
"Palau","not specified","red",NA,NA,NA,NA
"Palau","not specified","green",132.337600068,5.24747966200002,136.685600068,9.59547966200002
"Indonesia","Mayangan Coast, West Java, May-November 2003","red",NA,NA,NA,NA
"Indonesia","Mayangan Coast, West Java, May-November 2003","green",107.65111,-6.35027999999995,107.92111,-6.08027999999995
"USA","Chesapeake Bay","red",-76.306426,36.78184,-75.850839,37.165886
"USA","Chesapeake Bay","green",-96.04736,17.00255,-56.04736,57.00255
"USA","Gulf of Maine","red",-70.86014,42.97216,-70.36014,43.47216
"USA","Gulf of Maine","green",-87.31026,24.5723,-47.31026,64.5723
"USA","Hudson River, New York","red",-74.2782,40.44677,-73.7782,40.94677
"USA","Hudson River, New York","green",-78.0282,36.6967700000001,-70.0282,44.6967700000001
"USA","Patuxent River estuary, Maryland","red",NA,NA,NA,NA
"USA","Patuxent River estuary, Maryland","green",-80.40495,34.31901,-72.40495,42.31901
"NA","Western Central Atlantic","red",NA,NA,NA,NA
"NA","Western Central Atlantic","green",-74.55595275,39.238173,-74.30395275,39.490173
"Russia","Enisey river","red",NA,NA,NA,NA
"Russia","Enisey river","green",78.6803,67.8277,86.6803,75.8277
"","Ob","red",15.035098595535,46.3977859537881,15.460430777179,46.7827205706613
"","Ob","green",6.65111655000007,51.317092075,7.04311655000007,51.709092075
"Russia","Siberian rivers; in strong currents.","red",NA,NA,NA,NA
"Russia","Siberian rivers; in strong currents.","green",99.8700000000001,59.8700000000001,100.13,60.1300000000001
"","North Sea","red",-88.9910430908203,7.89865493774414,-59.2689323425293,22.7095069885254
"","North Sea","green",-72.552,40.79582,-72.282,41.06582
"Denmark","Not stated.","red",NA,NA,NA,NA
"Denmark","Not stated.","green",7.47593405400002,53.381300779,12.631934054,58.537300779
"USA","Florida","red",-87.634896,24.52108,-80.031158,31.000968
"USA","Florida","green",-85.2146487899999,25.0400448950001,-78.1626487899999,32.0920448950001
"USA","South Florida (Feb 1989-Apr 1995)","red",NA,NA,NA,NA
"USA","South Florida (Feb 1989-Apr 1995)","green",-66.719163226,18.2144254510001,-66.401163226,18.5324254510001
"","West Indies","red",-84.957428,10.7262525558472,-60.8096896756103,27.232027
"","West Indies","green",-84.9999999999999,5.00000000000006,-54.9999999999999,35.0000000000001
"Hawaii","Kane'ohe Bay","red",-158.06028,21.21278,-157.56028,21.71278
"Hawaii","Kane'ohe Bay","green",-177.81028,1.46278000000007,-137.81028,41.4627800000001
"New Zealand","south Chatham Rise (Nov 1986)","red",NA,NA,NA,NA
"New Zealand","south Chatham Rise (Nov 1986)","green",164.4834325,-50.147233564,179.9,-34.427233564
"Australia","southern coasts and Tasmania","red",NA,NA,NA,NA
"Australia","southern coasts and Tasmania","green",148.058633775484,-40.3392409904972,148.310633775484,-40.0872409904972
"NA","not given","red",NA,NA,NA,NA
"NA","not given","green",10.839498984,-28.520976122,23.6034989840001,-15.756976122
"NA","Not given","red",NA,NA,NA,NA
"NA","Not given","green",10.839498984,-28.520976122,23.6034989840001,-15.756976122
"India","-","red",68.1862489922762,6.7559528993543,97.4152926679075,35.524548272882
"India","-","green",64.5583265480001,8.49437973500004,94.3283265480001,38.264379735
"Kiribati","Abaiang","red",172.79214,1.54807,173.29214,2.04807
"Kiribati","Abaiang","green",171.94369,0.852930000000072,173.94369,2.85293000000007
"Kiribati","Abemama","red",173.57624,0.24133,174.07624,0.74133
"Kiribati","Abemama","green",172.86667,-0.599999999999966,174.86667,1.40000000000003
"Kiribati","Butaritari","red",172.55857,2.8353,173.05857,3.3353
"Kiribati","Butaritari","green",172.65022,2.93071000000008,172.93022,3.21071000000008
"Solomon Is.","Munda","red",NA,NA,NA,NA
"Solomon Is.","Munda","green",155.397289649,-14.3858037679999,164.923289649,-4.85980376799993
"New Caledonia","not specified","red",NA,NA,NA,NA
"New Caledonia","not specified","green",162.777841842,-24.231791316,168.625841842,-18.383791316
"Kiribati","Tarawa","red",172.735,1.169,173.235,1.669
"Kiribati","Tarawa","green",172.73346,1.15248000000006,173.13946,1.55848000000006
"Kiribati","to be filled","red",NA,NA,NA,NA
"Kiribati","to be filled","green",-169.981932638,-10.7721594969999,-144.733932638,14.4758405030001
"Solomon Is.","Tulagi","red",NA,NA,NA,NA
"Solomon Is.","Tulagi","green",155.397289649,-14.3858037679999,164.923289649,-4.85980376799993
"Solomon Is.","Vona vona","red",NA,NA,NA,NA
"Solomon Is.","Vona vona","green",155.397289649,-14.3858037679999,164.923289649,-4.85980376799993
"Cuba","Cuba","red",-84.957428,19.828083,-74.131775,23.283781
"Cuba","Cuba","green",-83.0689999999999,18.4310000000001,-75.9309999999999,25.5690000000001
"Cambodia","Tonle Sap and Great Lake, 1995-1997","red",NA,NA,NA,NA
"Cambodia","Tonle Sap and Great Lake, 1995-1997","green",102.91519,11.9239000000001,104.91519,13.9239000000001
"","Caspian Sea","red",46.684612,36.5723037719727,54.0437774658203,47.01561
"","Caspian Sea","green",30.0000000000001,22.0000000000001,70.0000000000001,62.0000000000001
"Russia","Northern Caspian Sea","red",NA,NA,NA,NA
"Russia","Northern Caspian Sea","green",45.0393715340001,10.2235261830001,148.571371534,84.9
"USA","Mississippi","red",-91.655009,30.160617,-88.097888,34.996099
"USA","Mississippi","green",-91.755175808,30.6259777990001,-87.559175808,34.8219777990001
"USA","Ohio River","red",-83.70993,41.44949,-83.20993,41.94949
"USA","Ohio River","green",-93.1306299999999,32.98672,-85.1306299999999,40.98672
"USA","Connecticut","red",-73.727775,40.980377,-71.787239,42.050511
"USA","Connecticut","green",-73.498305908,40.81350273,-71.978305908,42.33350273
"USA","Delaware River","red",-75.77881,39.18261,-75.27881,39.68261
"USA","Delaware River","green",-79.52881,35.4326100000001,-71.52881,43.4326100000001
"USA","Potomac River","red",-76.50278,37.68889,-76.00278,38.18889
"USA","Potomac River","green",-80.25278,33.9388900000001,-72.25278,41.9388900000001
"Canada","St. John, Margaree, Gaspereau, and Tusket rivers (Nova Scotia and New Brunswick)","red",NA,NA,NA,NA
"Canada","St. John, Margaree, Gaspereau, and Tusket rivers (Nova Scotia and New Brunswick)","green",-65.32583,42.072639954,-57.93783,49.460639954
"Russia","Sea of Japan","red",NA,NA,NA,NA
"Russia","Sea of Japan","green",37.49505,55.6405,37.75505,55.9005
"","Europe","red",-24.5326753866625,27.6377894797159,41.733039855957,80.76416015625
"","Europe","green",-14.3203799999999,25.2299600000001,32.6016200000001,72.1519600000001
"Tunisia","Lake Ichkeul","red",9.42471,36.91362,9.92471,37.41362
"Tunisia","Lake Ichkeul","green",8.67471000000006,36.16362,10.6747100000001,38.16362
"Algeria","Mazafran River","red",NA,NA,NA,NA
"Algeria","Mazafran River","green",-1.19662999999997,32.6982100000001,6.80337000000003,40.6982100000001
"Ireland","Lough Lane","red",NA,NA,NA,NA
"Ireland","Lough Lane","green",-10.55,51.03333,-8.54999999999995,53.03333
"Italy","NA","red",9.68670044107838,42.2376815066415,12.3713544099033,44.4727074845038
"Italy","NA","green",14.015274496,40.518116521,14.667274496,41.170116521
"Greece","Lake Volvi","red",23.2195,40.42951,23.7195,40.92951
