SpawningID,CountryName,Family,Genus,Species,CommonName,SpawningType,AggregationType,DirectSpawningEvidence,IndirectSpawningEvidence,CurrentStatus,LunarPhase,SpawningMonths,HabitatType,Management,Gear,Source
273,"American Samoa",Acanthuridae,Acanthurus,lineatus,"Lined surgeonfish",Unknown,Unknown,"Spawning observation","Colour changes associated with spawning",Unknown,,"January February March April May June July August September October November December ","Spur and groove; Reef channel (pass)",None,Unknown,"Craig P.C., 1998, Temporal spawning patterns of several surgeonfishes and wrasses in American Samoa., Pacific Science 52(1):35-39"
150,"American Samoa",Labridae,Thalassoma,quinquevittatum,"Fivestripe wrasse",Unknown,Unknown,"Spawning observation","Courtship
Colour changes associated with spawning",Unknown,,"January February March April May June July August September October November December ","Reef flat",None,Unknown,"Craig P.C., 1998, Temporal spawning patterns of several surgeonfishes and wrasses in American Samoa., Pacific Science 52(1):35-39"
292,"American Samoa",Acanthuridae,Acanthurus,guttatus,"Whitespotted surgeonfish",Unknown,Unknown,"Spawning observation","Colour changes associated with spawning",Unknown,,"January February March April May June July August September October November December ","Reef channel (pass); Spur and groove",None,Unknown,"Craig P.C., 1998, Temporal spawning patterns of several surgeonfishes and wrasses in American Samoa., Pacific Science 52(1):35-39"
342,"American Samoa",Acanthuridae,Acanthurus,guttatus,"Whitespotted surgeonfish","Group Spawning",Unknown,"Spawning observation",Courtship,Unknown,,"June ","Reef channel (pass)","Marine Protected Area",Unknown,"Andy Cornish, 2002, pers. comm."
74,"American Samoa",Acanthuridae,Acanthurus,guttatus,"Whitespotted surgeonfish","Group Spawning",Unknown,"Spawning observation","Courtship
Colour changes associated with spawning",Unknown,,"July ","Sand channels; Artificial (eg. Wreck, artificial reef, man made structure, etc); Shallow coastal",None,Unknown,"Andy Cornish, 2002, pers. comm."
312,"American Samoa",Acanthuridae,Acanthurus,triostegus,"Convict surgeonfish",Unknown,Unknown,"Spawning observation","Colour changes associated with spawning",Unknown,,"January February March April May June July August September October November December ","Spur and groove; Reef channel (pass)",None,Unknown,"Craig P.C., 1998, Temporal spawning patterns of several surgeonfishes and wrasses in American Samoa., Pacific Science 52(1):35-39"
959,Argentina,Merlucciidae,"Merluccius ",hubbsi,"Argentine hake ",Unknown,Unknown,"Hydrated eggs
Postovulatory follicles","GSI
Mature gonads",Decreasing,,"January February March November December ","Deep water reef","Landing quota","Bottom Trawl
Mid-water trawl","P´ajaro, M., Macchi, G. & Martos, P. , 2005, Reproductive pattern of the Patagonian stock of Argentine hake (Merluccinus hubbsi), Fisheries Research: 72 pp. 97 - 108; Macchi, G., Martos, P., Reta, R. & Dato, C., 2010, Offshore spawning of the Argentine hake (Merluccius hubbsi) Patagonian stock, Pan-American Journal of Aquatic Sciences: 5(1) pp. 22 - 35"
220,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout",Unknown,Transient,"Postovulatory follicles
Spawning observation
Hydrated eggs",Courtship,Unknown,"First quarter
","October November ","Outer reef slope","Limited gear types
Marine Protected Area
Limited entry
Landing quota","Hook and Line
Spear","Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry., Marine Ecology Progress Series 162: 253-263; Dirk Zeller, 2003, pers. comm.; Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry, Marine Ecology Progress Series 162 253-263"
45,Australia,Sparidae,Acanthopagrus,australis,"Yellowfin bream",Unknown,Transient,Unspecified,GSI,Unknown,,"July August ","Other; Sand","Unknown
Limited entry
Limited gear types
Size limits ","Hook and Line","Pollock B.R., 1984, Relations between migration, reproduction and nutrition in yellowfin bream Acanthopagrus australis., Marine Ecology Progress Series 19: 17-23"
137,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout",Unknown,Transient,"Spawning observation
Hydrated eggs
Postovulatory follicles",Courtship,Unknown,"First quarter
","October November ","Low relief living reef; Fringing reef; Island; High coral cover","Landing quota
Limited gear types
Marine Protected Area
Limited entry",Unknown,"Dirk Zeller, 2003, pers. comm.; Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry, Marine Ecology Progress Series 162 253-263"
279,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Transient,"Hydrated eggs
Postovulatory follicles","High seasonal landings",Unknown,"New moon
Full moon
","April May June July August September October ",Other,Unknown,"Hook and Line
Bottom Trawl
Beach Seine","Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
307,Australia,Acanthuridae,Acanthurus,nigrofuscus,"Brown surgeonfish",Unknown,Resident,"Spawning observation","Courtship
Colour changes associated with spawning",Unknown,,,"Outer reef slope; Reef crest","Limited gear types
Marine Protected Area",Unknown,"Domeier M.L. & P.L. Colin., 1997, Tropical reef fish aggregations: defined and reviewed., Bulletin of Marine Science. 60(3):698-726"
160,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Transient,"Postovulatory follicles
Hydrated eggs","High seasonal landings",Increasing,"New moon
Full moon
","April May June July August September October ",Other,"Time/area closure","Trap
Bottom Trawl
Longline","Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
