country,localities,address,confidence,quality,lat,lon,ne_lat,ne_lon,sw_lat,sw_lon
USA,Delaware Bay,Delaware Bay,1,POI,39.050110000000075,-75.14962999999995,59.050110000000075,-55.149629999999945,19.050110000000075,-95.14962999999995
NA,to be filled,NA,1,Locality,-22.138976121999974,17.22149898400005,-15.756976121999973,23.60349898400005,-28.520976121999976,10.839498984000048
Azores Is.,Azores Is,Azores,1,Locality,37.79632766100008,-25.481479408999974,38.02832766100008,-25.249479408999974,37.56432766100008,-25.713479408999973
Panama,"Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","Panama, Panamá",1,Locality,8.952390000000037,-79.53539999999998,9.039390000000036,-79.44839999999998,8.865390000000037,-79.62239999999998
Brazil,São Paulo,São Paulo,1,Locality,-23.562869999999975,-46.654679999999985,-23.284869999999977,-46.376679999999986,-23.840869999999974,-46.93267999999998
Japan,to be filled,"Tobe, Iyo, Ehime",1,Locality,33.74918383600004,132.7923217980001,33.90218383600004,132.9453217980001,33.596183836000044,132.6393217980001
Argentina,"Buenos Aires - Patagonian region, 1981-1983","Patagonia 1981, Ituzaingó, B1714, Buenos Aires",9,StreetAddress,-34.64077692008512,-58.7004216105015,-34.639776920085126,-58.6994216105015,-34.64177692008512,-58.7014216105015
Bermuda,Bermuda,Bermuda,1,Locality,32.30681773200007,-64.77004183699995,32.40281773200007,-64.67404183699995,32.21081773200007,-64.86604183699995
,Mediterranean,Mediterranean,7,POI,34.135900041115825,-117.25917999999996,34.14131000000004,-117.25417999999996,34.131310000000035,-117.26417999999995
USA,North Carolina,North Carolina,1,Locality,35.53934433500007,-79.18541791299998,38.44134433500007,-76.28341791299998,32.637344335000066,-82.08741791299998
USA,Northern Gulf of Mexico,Gulf of Mexico,1,POI,29.186900000000037,-89.93673999999999,49.18690000000004,-69.93673999999999,9.186900000000037,-109.93673999999999
USA,Straits of Florida,"Straits, Florida",6,Locality,28.05660000000006,-82.29729999999995,28.07660000000006,-82.27729999999995,28.03660000000006,-82.31729999999995
Mexico,Straits of Yucatan,Yucatan,1,POI,21.750000000000057,-85.74999999999994,36.75000000000006,-70.74999999999994,6.750000000000057,-100.74999999999994
South Africa,Kosi estuary,Kosi Bay Estuary,7,POI,-26.89472999999998,32.87643000000003,-26.889729999999982,32.88143000000003,-26.89972999999998,32.871430000000025
South Africa,South Africa,South Africa,1,Locality,-28.997182287999976,25.085049940000033,-21.710182287999977,32.37204994000003,-36.284182287999975,17.798049940000034
United Arab Em.,"off Abu Dhabi, 2000-2003","Lane 2003, Al Dhafrah East, Abu Dhabi",9,StreetName,24.23112647209362,54.64633444298403,24.232126472093622,54.647334442984025,24.23012647209362,54.64533444298403
China,coastal waters to the north of Hong Kong,"NORTH, Hong Kong",1,Locality,22.51488050000006,114.18429820000006,26.51488050000006,118.18429820000006,18.51488050000006,110.18429820000006
Japan,not stated,Japan,1,Locality,36.655226998000046,139.27149500000007,47.747226998000045,150.36349500000009,25.563226998000047,128.17949500000006
Japan,Tokyo Bay,Namidaga-hama Coast,1,POI,30.48510912000006,140.31389945900003,35.48510912000006,145.31389945900003,25.48510912000006,135.31389945900003
Hong Kong,Tolo Harbour,TOLO HARBOUR,1,POI,22.427786800000035,114.2204038000001,42.427786800000035,134.2204038000001,2.4277868000000353,94.2204038000001
Hawaii,west coast (19°42' N; 156°03' W) (May 2006-April 2007),2007,6,Postal,41.32405000000006,19.48930100000007,41.34405000000006,19.509301000000068,41.30405000000005,19.46930100000007
American Samoa,"Afao, Tutuila Island",Tutuila Island,1,POI,-14.29971999999998,-170.72249999999997,-4.710719999999979,-161.13349999999997,-23.888719999999978,-179.9
Micronesia,Pohnpei State (Jul-Aug 2016),"State of Pohnpei, Pohnpei",1,Locality,6.9640000000000555,158.20560000000012,10.363000000000056,161.60460000000012,3.5650000000000555,154.80660000000012
Israel,Larome Beach (April 1981-May 1984),"May, Khayfa",7,Locality,32.81886000000003,34.99239000000006,32.82886000000003,35.002390000000055,32.80886000000003,34.98239000000006
Palau,to be filled,Palau,1,Locality,7.421479662000024,134.511600068,9.595479662000024,136.685600068,5.247479662000025,132.337600068
Palau,not specified,Palau,1,Locality,7.421479662000024,134.511600068,9.595479662000024,136.685600068,5.247479662000025,132.337600068
Indonesia,"Mayangan Coast, West Java, May-November 2003","Mayangan, West Java",7,Locality,-6.21527999999995,107.78611000000006,-6.20527999999995,107.79611000000007,-6.22527999999995,107.77611000000006
USA,Chesapeake Bay,Chesapeake Bay,1,POI,37.00255000000004,-76.04735999999997,57.00255000000004,-56.04735999999997,17.002550000000042,-96.04735999999997
USA,Gulf of Maine,Gulf of Maine,1,POI,44.57230000000004,-67.31025999999997,64.57230000000004,-47.31025999999997,24.57230000000004,-87.31025999999997
USA,"Hudson River, New York",Hudson River,1,POI,40.69677000000007,-74.02819999999997,44.69677000000007,-70.02819999999997,36.69677000000007,-78.02819999999997
USA,"Patuxent River estuary, Maryland",Patuxent River,1,POI,38.31901000000005,-76.40494999999999,42.31901000000005,-72.40494999999999,34.31901000000005,-80.40494999999999
NA,Western Central Atlantic,"Centre St, Atlantic City, New Jersey, 08401",9,StreetName,39.364173000000015,-74.42995275,39.36517300000001,-74.42895275,39.36317300000002,-74.43095275
Russia,Enisey river,Enisei,1,POI,71.82770000000005,82.68030000000005,75.82770000000005,86.68030000000005,67.82770000000005,78.68030000000005
,Ob,"OB, Nordrhein-Westfalen",3,Locality,51.51309207500003,6.847116550000067,51.58409207500003,6.918116550000066,51.44209207500003,6.776116550000067
Russia,Siberian rivers; in strong currents.,Siberia,7,Locality,60.00000000000006,100.00000000000006,60.00500000000006,100.00500000000005,59.995000000000054,99.99500000000006
,North Sea,"North Sea, Town of Southampton, New York",7,Locality,40.93082000000004,-72.41699999999997,40.94082000000004,-72.40699999999997,40.92082000000004,-72.42699999999998
Denmark,Not stated.,Denmark,1,Locality,55.959300779000046,10.053934054000024,58.53730077900005,12.631934054000023,53.38130077900004,7.4759340540000245
USA,Florida,Florida,1,Locality,28.56604489500006,-81.68864878999995,32.092044895000065,-78.16264878999995,25.04004489500006,-85.21464878999994
USA,South Florida (Feb 1989-Apr 1995),Florida,4,Locality,18.37342545100006,-66.56016322599999,18.40742545100006,-66.52616322599998,18.33942545100006,-66.59416322599999
,West Indies,West Indies,1,POI,20.000000000000057,-69.99999999999994,35.00000000000006,-54.99999999999994,5.000000000000057,-84.99999999999994
Hawaii,Kane'ohe Bay,Kāne'ohe Bay,1,POI,21.462780000000066,-157.81027999999998,41.462780000000066,-137.81027999999998,1.4627800000000661,-177.81027999999998
New Zealand,south Chatham Rise (Nov 1986),New Zealand,1,Locality,-42.28723356399996,172.34343250000006,-34.42723356399996,179.9,-50.14723356399996,164.48343250000005
Australia,southern coasts and Tasmania,"Coast Rd, Lady Barron, Tasmania, 7255",9,StreetName,-40.21324099049717,148.1846337754839,-40.21224099049717,148.1856337754839,-40.21424099049717,148.18363377548388
NA,not given,NA,1,Locality,-22.138976121999974,17.22149898400005,-15.756976121999973,23.60349898400005,-28.520976121999976,10.839498984000048
NA,Not given,NA,1,Locality,-22.138976121999974,17.22149898400005,-15.756976121999973,23.60349898400005,-28.520976121999976,10.839498984000048
India,-,India,1,Locality,23.379379735000043,79.44332654800007,38.26437973500004,94.32832654800008,8.494379735000043,64.55832654800007
Kiribati,Abaiang,"Abaiang, Gilbert Islands",1,Locality,1.8529300000000717,172.94369000000006,2.8529300000000717,173.94369000000006,0.8529300000000717,171.94369000000006
Kiribati,Abemama,"Abemama, Gilbert Islands",1,Locality,0.4000000000000341,173.8666700000001,1.400000000000034,174.8666700000001,-0.5999999999999659,172.8666700000001
Kiribati,Butaritari,"Butaritari, Gilbert Islands",7,Locality,3.0707100000000764,172.7902200000001,3.0857100000000766,172.80522000000008,3.0557100000000763,172.7752200000001
Solomon Is.,Munda,Solomon Islands,1,Locality,-9.622803767999926,160.1602896490001,-4.859803767999926,164.9232896490001,-14.385803767999926,155.3972896490001
New Caledonia,not specified,New Caledonia,1,Locality,-21.307791315999964,165.70184184200002,-18.383791315999964,168.62584184200003,-24.231791315999963,162.77784184200002
Kiribati,Tarawa,"Tarawa, Gilbert Islands",2,Locality,1.3554800000000569,172.93646000000012,1.433480000000057,173.01446000000013,1.2774800000000568,172.85846000000012
Kiribati,to be filled,Kiribati,1,Locality,1.8518405030000622,-157.35793263799997,14.475840503000063,-144.73393263799997,-10.772159496999938,-169.98193263799996
Solomon Is.,Tulagi,Solomon Islands,1,Locality,-9.622803767999926,160.1602896490001,-4.859803767999926,164.9232896490001,-14.385803767999926,155.3972896490001
Solomon Is.,Vona vona,Solomon Islands,1,Locality,-9.622803767999926,160.1602896490001,-4.859803767999926,164.9232896490001,-14.385803767999926,155.3972896490001
Cuba,Cuba,Cuba,1,Locality,22.000000000000057,-79.49999999999994,25.569000000000056,-75.93099999999994,18.431000000000058,-83.06899999999995
Cambodia,"Tonle Sap and Great Lake, 1995-1997",Tonle Sap,1,POI,12.92390000000006,103.91519000000005,13.92390000000006,104.91519000000005,11.92390000000006,102.91519000000005
,Caspian Sea,Caspian Sea,1,POI,42.00000000000006,50.00000000000006,62.00000000000006,70.00000000000006,22.000000000000057,30.000000000000057
Russia,Northern Caspian Sea,Russia,1,Locality,61.989526183000066,96.80537153400007,84.9,148.57137153400006,10.223526183000068,45.039371534000075
USA,Mississippi,Mississippi,1,Locality,32.72397779900007,-89.65717580799998,34.82197779900007,-87.55917580799998,30.62597779900007,-91.75517580799998
USA,Ohio River,Ohio River,1,POI,36.98672000000005,-89.13062999999994,40.98672000000005,-85.13062999999994,32.98672000000005,-93.13062999999994
USA,Connecticut,Connecticut,1,Locality,41.57350273000003,-72.73830590799997,42.33350273000003,-71.97830590799997,40.81350273000003,-73.49830590799998
USA,Delaware River,Delaware River,1,POI,39.43261000000007,-75.52880999999996,43.43261000000007,-71.52880999999996,35.43261000000007,-79.52880999999996
USA,Potomac River,Potomac River,1,POI,37.93889000000007,-76.25277999999997,41.93889000000007,-72.25277999999997,33.93889000000007,-80.25277999999997
Canada,"St. John, Margaree, Gaspereau, and Tusket rivers (Nova Scotia and New Brunswick)",Nova Scotia,1,Locality,45.76663995400003,-61.63182999999998,49.46063995400003,-57.93782999999998,42.072639954000024,-65.32582999999998
Russia,Sea of Japan,Jpan,7,POI,55.77050000000003,37.625050000000044,55.77550000000003,37.63005000000005,55.765500000000024,37.62005000000004
,Europe,Europe,1,Locality,48.690960000000075,9.14062000000007,72.15196000000007,32.60162000000007,25.229960000000073,-14.320379999999933
Tunisia,Lake Ichkeul,Lake Ishkel,1,POI,37.16362000000004,9.674710000000061,38.16362000000004,10.674710000000061,36.16362000000004,8.674710000000061
Algeria,Mazafran River,Wad Mazafran,1,POI,36.698210000000074,2.8033700000000294,40.698210000000074,6.8033700000000294,32.698210000000074,-1.1966299999999706
Ireland,Lough Lane,Lough Leane,1,POI,52.033330000000035,-9.549999999999955,53.033330000000035,-8.549999999999955,51.033330000000035,-10.549999999999955
Italy,NA,NA,1,Locality,40.844116521000046,14.34127449600004,41.17011652100005,14.66727449600004,40.518116521000046,14.015274496000039
Greece,Lake Volvi,Lake Volvi,1,POI,40.66694000000007,23.498890000000074,41.66694000000007,24.498890000000074,39.66694000000007,22.498890000000074
Greece,Lake Volvi (2001),Lake Volvi,1,POI,40.66694000000007,23.498890000000074,41.66694000000007,24.498890000000074,39.66694000000007,22.498890000000074
Romania,Lake Razelm,Razem,1,POI,44.900000000000034,28.950000000000045,45.900000000000034,29.950000000000045,43.900000000000034,27.950000000000045
India,Godavari estuary,"Godavari, Andhra Pradesh",4,Locality,16.93333000000007,82.21667000000008,16.97433000000007,82.25767000000008,16.89233000000007,82.17567000000008
Australia,"Albany, Western Australia","Albany, Western Australia",2,Locality,-35.02393999999998,117.88355000000001,-34.95393999999998,117.95355,-35.09393999999998,117.81355000000002
Japan,central Honshu,Central,7,POI,34.99074845300004,134.96893725600012,34.99574845300004,134.9739372560001,34.985748453000035,134.96393725600012
Peru,"Ilo, Callao, Chimbote, Paita","Jirón Chimbote, Uv. Santa Marina Norte, Callao, 07001",9,StreetName,-12.055063056337127,-77.13258985083246,-12.054063056337128,-77.13158985083246,-12.056063056337127,-77.13358985083246
Australia,northern New South Wales,"Northern Blvd, Halekulani, New South Wales, 2262",9,StreetName,-33.21582153403401,151.55533924349317,-33.214821534034016,151.55633924349317,-33.21682153403401,151.55433924349316
Chile,Off Chile,Chile,1,Locality,-29.999999999999943,-70.99999999999994,-9.483999999999941,-50.48399999999994,-50.51599999999995,-91.51599999999995
USA,"Point Conception to San Diego, California","Point Conception Ct, Chula Vista, California, 91911",9,StreetName,32.6010285,-117.0262665,32.602028499999996,-117.0252665,32.6000285,-117.02726650000001
USA,"San Pedro, California","San Pedro, California",7,Locality,33.73787000000004,-118.28460999999999,33.74787000000004,-118.27460999999998,33.727870000000046,-118.29460999999999
Australia,South Australia,South Australia,1,Locality,-30.10641185999998,135.7891779910001,-24.08941185999998,141.80617799100008,-36.12341185999998,129.7721779910001
,southern Africa,Southern,7,POI,-29.812329999999974,30.869770000000074,-29.807329999999975,30.874770000000073,-29.817329999999973,30.864770000000075
Australia,southern New South Wales,"Southern Blvd, Halekulani, New South Wales, 2262",9,StreetName,-33.21673739851518,151.55430719059615,-33.21573739851518,151.55530719059615,-33.217737398515176,151.55330719059614
Australia,Victoria,Victoria,1,Locality,-36.84822897999993,144.29954416900011,-33.28022897999993,147.86754416900013,-40.41622897999993,140.7315441690001
Australia,Western Australia (south coasts),"South Coast Hwy, King River, Western Australia, 6330",9,StreetName,-34.93878321795382,117.90385810451139,-34.93778321795382,117.90485810451139,-34.93978321795382,117.90285810451138
USA,"Black Warrior R., Black Warrior R. Tuscaloosa Co","Black Warrior Pkwy, Tuscaloosa, Alabama, 35401",9,StreetName,33.21470211414464,-87.62115267748445,33.21570211414464,-87.62015267748444,33.213702114144645,-87.62215267748445
Brazil,Lagoa dos Patos,"Lagoa dos Patos, Minas Gerais",1,Locality,-16.978869999999972,-44.57489999999996,-16.810869999999973,-44.40689999999996,-17.14686999999997,-44.742899999999956
Portugal,Aveiro,Aveiro,1,Locality,40.641230000000064,-8.65390999999994,40.751230000000064,-8.54390999999994,40.531230000000065,-8.763909999999939
,Black Sea,Black Sea,1,POI,43.00000000000006,35.00000000000006,63.00000000000006,55.00000000000006,23.000000000000057,15.000000000000057
Spain,East Cantabrian area,"La Arena, 39195, Arnuero, Cantabria",9,StreetName,43.50179962515487,-3.5792277197953553,43.502799625154864,-3.5782277197953554,43.50079962515487,-3.580227719795355
UK,English Channel,English Channel,1,POI,50.00000000000006,-0.9999999999999432,65.00000000000006,14.000000000000057,35.00000000000006,-15.999999999999943
Spain,Galician coast,Galicia,1,Locality,42.75644857700007,-7.910780905999957,43.89444857700007,-6.772780905999957,41.61844857700007,-9.048780905999957
Portugal,Lisboa,Lisboa,2,Locality,38.72639000000004,-9.149479999999926,38.80739000000004,-9.068479999999926,38.645390000000035,-9.230479999999925
Portugal,Matosinhos,"Matosinhos, Porto",3,Locality,41.186690000000056,-8.676899999999932,41.24569000000005,-8.617899999999933,41.12769000000006,-8.735899999999932
Spain,"North-Atlantic Spanish Coasts, 41°55 N - 1°58 W",Spain,1,Locality,40.227949660000036,-3.6460631049999392,49.88794966000003,6.013936895000061,30.567949660000036,-13.30606310499994
Morocco,"Northwest Africa (27°-29° N), 1976-82",0082,5,Postal,-25.710810238999954,28.15198900000007,-25.680810238999953,28.181989000000073,-25.740810238999956,28.12198900000007
,Off African coasts of Mediterranean,Mediterranean,7,POI,-26.167889999999943,28.138210000000072,-26.162889999999944,28.14321000000007,-26.172889999999942,28.133210000000073
,Off European coasts of Mediterranean,"Mediterranea, Riviera Beach, Florida",7,Locality,26.78974000000005,-80.10641999999996,26.799740000000053,-80.09641999999995,26.77974000000005,-80.11641999999996
Portugal,Olhao,"Olhão, Faro",2,Locality,37.03843000000006,-7.828579999999931,37.11443000000006,-7.752579999999932,36.96243000000006,-7.904579999999931
Portugal,Peniche & Olhao/Portimao,"Portimão, Faro",1,Locality,37.139950000000056,-8.532479999999964,37.23295000000006,-8.439479999999964,37.04695000000005,-8.625479999999964
,Spanish and Portueguese coast,Spanish & Portuguese Synagogue,7,POI,51.52833000000004,-0.18583999999992784,51.53333000000004,-0.18083999999992784,51.52333000000004,-0.19083999999992785
UK,SW England,"Southwest Road, London, England, E11 4",9,StreetName,51.567395574517484,0.002491347045566694,51.56839557451748,0.003491347045566694,51.566395574517486,0.0014913470455666942
Spain,W Cantabrian area,"La Arena, 39195, Arnuero, Cantabria",9,StreetName,43.50179962515487,-3.5792277197953553,43.502799625154864,-3.5782277197953554,43.50079962515487,-3.580227719795355
,Caspian Sea (Volga),"Caspian Ave, Volga, South Dakota, 57071",9,StreetName,44.31876353639434,-96.90846681969569,44.31976353639434,-96.90746681969568,44.317763536394345,-96.9094668196957
Russia,Don River (1966-1971),Don River,1,POI,47.061690000000056,39.28857000000005,51.061690000000056,43.28857000000005,43.061690000000056,35.28857000000005
,"Volga, Vyatka, Kama, Oka and Ural rivers and their tributaries",Rivers,1,Locality,4.836947835000046,6.913532677000035,5.489947835000047,7.566532677000035,4.183947835000046,6.260532677000034
,Black Sea and Sea of Azov,Sea of Azov,1,POI,46.00000000000006,36.00000000000006,66.00000000000006,56.00000000000006,26.000000000000057,16.000000000000057
Romania,Danube Delta (1987),Danube Delta,7,POI,45.50000000000006,29.416670000000067,45.50500000000006,29.421670000000066,45.495000000000054,29.41167000000007
Romania,Danube Delta (1989),Danube Delta,7,POI,45.50000000000006,29.416670000000067,45.50500000000006,29.421670000000066,45.495000000000054,29.41167000000007
,not specified,Specialied,7,POI,4.1406200000000695,-73.63918999999999,4.145620000000069,-73.63418999999999,4.13562000000007,-73.64418999999998
