J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,111,111,111,111,111,111,,111,111,Brazil,"Amapá, Pará, Maranhão (1998-2001)"
,,,,,,111,111,111,111,111,111,Brazil,"Maranhâo, 1997-1999"
111,111,111,111,111,111,111,111,111,111,111,111,Brazil,"Maranhâo, 2005-2006"
111,111,111,,,,111,111,111,111,111,111,Brazil,Off Rio Grande do Sul
111,111,,,111,111,111,,,,111,111,Brazil,Pará
,,,,,,111,111,,111,111,111,Brazil,"Pará, 1996-1997"
,111,111,111,111,111,111,111,111,,,,Brazil,Paraná
111,111,111,,,,,,,111,111,111,Argentina,Río de la Plata estuary
111,111,,,,111,111,111,111,111,111,111,Brazil,Rio Grande do Sul
111,111,,,,,,,,111,111,111,Brazil,"Rio Grande do Sul, 1976-1977"
111,111,111,,,,,,,,111,111,Brazil,Rio Grande do Sul_
111,111,111,111,111,111,,,,111,111,111,Brazil,São Paolo
111,111,111,111,111,,,,,111,111,111,Brazil,"São Paolo, 1961-1964"
111,111,111,111,,,,,,,,111,Brazil,"São Paolo, 1997-1999"
,111,,,,,,,,,,111,,Western central Atlantic bet. Chesapeake Bay and Amazon River
